label,text
ham,Are you coming to the party tomorrow?
ham,See you at the office tomorrow.
ham,Happy Birthday! Have a great day ahead!
ham,"I'll be home soon, don’t worry."
ham,Can we schedule a quick call?
spam,Win $1000 by signing up here.
ham,"I'm running late, will reach by 8."
ham,Happy Birthday! Have a great day ahead!
spam,Win $1000 by signing up here.


spam,"You won a lottery worth $10,000!"
spam,"Limited time offer! Buy one, get one free!"
spam,"Earn money from home, no experience needed!"
spam,Exclusive deal just for you. Limited time offer!
ham,Let's go out for dinner tonight.
ham,Let's catch up sometime soon.
ham,See you at the office tomorrow.
ham,Happy Birthday! Have a great day ahead!
spam,Win $1000 by signing up here.
spam,You are the lucky winner of today’s jackpot!
ham,Can we schedule a quick call?
ham,Can we schedule a quick call?
spam,Exclusive deal just for you. Limited time offer!
spam,"Limited time offer! Buy one, get one free!"
ham,"I'll be home soon, don’t worry."
spam,Exclusive deal just for you. Limited time offer!
spam,Get free recharge by clicking this link!
spam,Claim your free vacation trip now!
ham,How was your weekend trip?
ham,"I'm running late, will reach by 8."
ham,Let's catch up sometime soon.
spam,Exclusive deal just for you. Limited time offer!
spam,URGENT: Your account has been suspended. Click here to verify.
spam,You’ve been selected for a $500 Amazon gift card!
spam,Exclusive deal just for you. Limited time offer!
spam,Final notice: your payment is overdue. Act now!
ham,Can we schedule a quick call?
ham,Can we schedule a quick call?
spam,You’ve been selected for a $500 Amazon gift card!
ham,Let's go out for dinner tonight.
spam,Congratulations! You've won a free iPhone!
ham,Happy Birthday! Have a great day ahead!
ham,Can we schedule a quick call?
ham,"Check your mail, I sent you the files."
ham,Let's go out for dinner tonight.
ham,"I'm running late, will reach by 8."
ham,Please submit your report by evening.
ham,Let's catch up sometime soon.
ham,See you at the office tomorrow.
spam,"Limited time offer! Buy one, get one free!"
ham,"I'm running late, will reach by 8."
ham,How was your weekend trip?
ham,Let's go out for dinner tonight.
ham,Don't forget to bring your ID card for the meeting.
ham,"I'll be home soon, don’t worry."
spam,"Unlock premium access instantly, click below!"
spam,"You won a lottery worth $10,000!"
spam,Get free recharge by clicking this link!
spam,"Earn money from home, no experience needed!"
spam,Claim your free vacation trip now!
spam,"Limited time offer! Buy one, get one free!"
ham,Thanks for your help earlier.
spam,Exclusive deal just for you. Limited time offer!
spam,Get free recharge by clicking this link!
ham,Let's catch up sometime soon.
ham,Let's catch up sometime soon.
spam,"Earn money from home, no experience needed!"
ham,Don't forget to bring your ID card for the meeting.
ham,Don't forget to bring your ID card for the meeting.
spam,Final notice: your payment is overdue. Act now!
ham,"I'll be home soon, don’t worry."
spam,Your loan has been approved! Click to proceed.
spam,"Earn money from home, no experience needed!"
spam,Win $1000 by signing up here.
spam,You are the lucky winner of today’s jackpot!
ham,Please submit your report by evening.
spam,Congratulations! You've won a free iPhone!
ham,"Check your mail, I sent you the files."
ham,Let's go out for dinner tonight.
ham,Happy Birthday! Have a great day ahead!
ham,Thanks for your help earlier.
spam,Claim your free vacation trip now!
ham,Don't forget to bring your ID card for the meeting.
ham,Don't forget to bring your ID card for the meeting.
spam,You are the lucky winner of today’s jackpot!
ham,"I'm running late, will reach by 8."
ham,"I'm running late, will reach by 8."
ham,Thanks for your help earlier.
spam,Get free coupons now before they expire!
ham,"Hey, are we still on for lunch tomorrow?"
spam,"Unlock premium access instantly, click below!"
ham,Don't forget to bring your ID card for the meeting.
ham,See you at the office tomorrow.
spam,"You won a lottery worth $10,000!"
spam,Final notice: your payment is overdue. Act now!
ham,Happy Birthday! Have a great day ahead!
ham,"Check your mail, I sent you the files."
ham,Don't forget to bring your ID card for the meeting.
spam,Get free coupons now before they expire!
ham,Please submit your report by evening.
spam,You’ve been selected for a $500 Amazon gift card!
spam,"Limited time offer! Buy one, get one free!"
ham,Can you call me when you’re free?
spam,"Limited time offer! Buy one, get one free!"
spam,Congratulations! You've won a free iPhone!
ham,Can you call me when you’re free?
ham,Can you call me when you’re free?
ham,"Check your mail, I sent you the files."
ham,Are you coming to the party tomorrow?
spam,"Unlock premium access instantly, click below!"
spam,Congratulations! You've won a free iPhone!
ham,Thanks for your help earlier.
ham,"Hey, are we still on for lunch tomorrow?"
ham,Please submit your report by evening.
spam,Claim your free vacation trip now!
spam,Exclusive deal just for you. Limited time offer!
ham,"I'm running late, will reach by 8."
ham,How was your weekend trip?
spam,Your loan has been approved! Click to proceed.
spam,"You won a lottery worth $10,000!"
ham,Please submit your report by evening.
ham,Are you coming to the party tomorrow?
spam,Exclusive deal just for you. Limited time offer!
ham,See you at the office tomorrow.
spam,Win $1000 by signing up here.
ham,Let's go out for dinner tonight.
spam,You are the lucky winner of today’s jackpot!
spam,Get free recharge by clicking this link!
spam,Get free recharge by clicking this link!
spam,Final notice: your payment is overdue. Act now!
spam,You’ve been selected for a $500 Amazon gift card!
ham,Happy Birthday! Have a great day ahead!
ham,Don't forget to bring your ID card for the meeting.
spam,"You won a lottery worth $10,000!"
spam,"You won a lottery worth $10,000!"
spam,Exclusive deal just for you. Limited time offer!
spam,Claim your free vacation trip now!
ham,Don't forget to bring your ID card for the meeting.
ham,"Hey, are we still on for lunch tomorrow?"
spam,You are the lucky winner of today’s jackpot!
spam,Get free coupons now before they expire!
ham,Thanks for your help earlier.
ham,Don't forget to bring your ID card for the meeting.
ham,Let's catch up sometime soon.
spam,Final notice: your payment is overdue. Act now!
spam,You’ve been selected for a $500 Amazon gift card!
ham,Don't forget to bring your ID card for the meeting.
spam,Get free recharge by clicking this link!
ham,"I'm running late, will reach by 8."
spam,"Limited time offer! Buy one, get one free!"
ham,Let's go out for dinner tonight.
spam,"Unlock premium access instantly, click below!"
ham,Happy Birthday! Have a great day ahead!
ham,Let's go out for dinner tonight.
ham,Can you call me when you’re free?
ham,See you at the office tomorrow.
ham,"I'll be home soon, don’t worry."
ham,Please submit your report by evening.
spam,"Earn money from home, no experience needed!"
spam,Win $1000 by signing up here.
ham,Happy Birthday! Have a great day ahead!
ham,Don't forget to bring your ID card for the meeting.
